ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gilvus_CR1	NZ_CP030932.1	2863043	0.270	6996	0.033	0	93529	3.267	91441	97.768	2088	2.233	13	0.014	24108	0.842	5431	0.190	2	84906
Ente_casseliflavus_EGM182	NZ_CP050490.1	3450044	0.719	14215	0.098	0	377995	10.956	377029	99.744	966	0.256	75	0.020	142541	4.132	469	0.014	7	141331
Ente_faecalis_LD33	NZ_CP014949.1	2803429	0.270	1784	0.038	0	25292	0.902	25270	99.913	22	0.087	3	0.012	71008	2.533	1142	0.041	4	130047
Ente_faecalis_FDAARGOS_324	NZ_CP028285.1	2928142	0.231	1387	0.024	0	20107	0.687	20033	99.632	74	0.368	4	0.020	72006	2.459	2006	0.069	5	159896
Ente_faecalis_FC	NZ_CP028835.1	2934454	0.166	597	0.010	0	7016	0.239	6964	99.259	52	0.741	0	0.000	50716	1.728	0	0.000	7	269080
Ente_faecium_DT1-1	NZ_CP050255.1	2684010	0.029	135	0.001	0	1024	0.038	1002	97.852	22	2.148	0	0.000	9204	0.343	0	0.000	3	689537
Ente_faecalis_L12	NZ_CP018102.1	2668255	0.177	445	0.009	0	3378	0.127	3370	99.763	8	0.237	0	0.000	52013	1.949	0	0.000	5	221034
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	0.144	344	0.005	0	2136	0.079	2123	99.391	13	0.609	0	0.000	39850	1.478	51	0.002	5	232305
Ente_casseliflavus_FDAARGOS_998	NZ_CP066024.1	3495847	0.618	11468	0.080	0	285054	8.154	283938	99.608	1116	0.392	36	0.013	148485	4.247	1904	0.054	11	178855
Ente_faecium_E8691	NZ_LR135435.1	2640062	0.227	3204	0.044	0	34367	1.302	33952	98.792	407	1.193	243	0.707	34213	1.296	5333	0.202	3	110763
Ente_faecium_E0139	NZ_LR132067.1	2458403	0.131	403	0.006	0	4351	0.177	4313	99.127	38	0.873	0	0.000	33065	1.345	0	0.000	7	399868
TOTAL	-	31622403	0.291	40978	0.347	0	854249	2.701	849435	99.436	4806	0.563	374	0.044	677209	2.142	16336	0.052	59	2617622
