ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Esch_coli_EC-1639	NZ_LR025101.1	5059899	2.503	48583	0.351	2	1598972	31.601	1598737	99.985	235	0.015	285	0.018	1524719	30.133	3169	0.063	1	31008
Esch_coli_EC-1639	NZ_LR025102.1	94720	2.877	1406	0.009	3	38922	41.092	38916	99.985	6	0.015	11	0.028	26110	27.565	307	0.324	0	0
Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
Esch_coli_EC-1639	NZ_LR025105.1	63589	0.005	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_118UI	NZ_CP032515.1	5205677	2.594	54633	0.401	2	1759202	33.794	1758791	99.977	411	0.023	44	0.003	1540552	29.594	4533	0.087	22	313407
Esch_coli_118UI	NZ_CP032517.1	4724	0.048	3	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
Esch_coli_118UI	NZ_CP032516.1	90328	0.639	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	16352	18.103	37	0.041	2	51103
Esch_coli_D5	NZ_CP010145.1	4817460	0.141	1246	0.018	0	15684	0.326	15485	98.731	199	1.269	0	0.000	101512	2.107	646	0.013	9	407432
Esch_coli_D5	NZ_CP010146.1	112874	0.162	14	0.000	0	297	0.263	296	99.663	1	0.337	0	0.000	5167	4.578	511	0.453	1	54220
Esch_coli_D5	NZ_CP010147.1	88754	0.247	26	0.000	0	622	0.701	605	97.267	17	2.733	0	0.000	4956	5.584	902	1.016	1	27499
Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.118	940	0.011	0	21409	0.440	20932	97.772	477	2.229	10	0.047	82196	1.690	1516	0.031	15	1194632
Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.371	231	0.001	0	3315	2.631	3208	96.772	107	3.228	0	0.000	9038	7.174	2527	2.006	1	42002
Esch_coli_PA45B	NZ_CP021288.1	5074754	0.118	954	0.005	0	18003	0.355	17620	97.873	383	2.128	4	0.022	108544	2.139	3985	0.079	19	1397931
Esch_coli_PA45B	NZ_CP021289.1	147172	0.863	1466	0.008	0	9074	6.166	8934	98.457	140	1.543	0	0.000	22563	15.331	15293	10.391	2	25371
Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.263	2529	0.013	0	36489	0.738	36130	99.016	359	0.984	2	0.005	240390	4.860	7400	0.150	12	366658
Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.401	379	0.002	0	5429	3.443	5330	98.176	99	1.824	0	0.000	10668	6.766	4319	2.739	2	77284
Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.097	430	0.005	0	8844	0.191	8680	98.146	164	1.854	0	0.000	74464	1.610	918	0.020	11	820658
Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.117	682	0.004	0	11188	0.233	10961	97.971	227	2.029	0	0.000	110701	2.303	3068	0.064	17	1089948
Esch_coli_MVAST0167	NZ_CP014493.1	128305	1.142	1747	0.011	0	8610	6.711	8463	98.293	147	1.709	10	0.116	26759	20.856	19336	15.070	3	39713
Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.694	503	0.002	0	12401	15.699	12175	98.178	225	1.816	10	0.081	915	1.158	1125	1.424	1	51700
Esch_coli_Santai	NZ_CP007592.1	5104557	0.116	974	0.005	0	20273	0.397	19755	97.445	518	2.555	1	0.005	96092	1.882	2384	0.047	17	1154497
Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.093	451	0.005	0	7674	0.167	7480	97.472	194	2.528	0	0.000	68509	1.491	1642	0.036	6	532947
Esch_coli_AR_0061	NZ_CP020059.1	87982	0.162	87	0.000	0	583	0.663	545	93.482	38	6.518	0	0.000	2849	3.238	630	0.716	1	56163
Esch_coli_AR_0061	NZ_CP020060.1	50999	0.411	5	0.000	0	1	0.002	1	100.000	0	0.000	0	0.000	5022	9.847	15	0.029	0	0
TOTAL	-	50385128	0.639	117289	0.850	0	3576992	7.099	3573044	99.890	3947	0.110	377	0.011	4078078	8.094	74263	0.147	145	7787044
