ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
Ente_gallinarum_FDAARGOS_728	NZ_CP046307.1	3274932	0.184	4254	0.020	0	50847	1.553	50491	99.300	356	0.700	1	0.002	24081	0.735	3084	0.094	1	35998
Ente_casseliflavus_FDAARGOS_1120	NZ_CP068132.1	3438280	0.710	19539	0.093	0	547747	15.931	543517	99.228	4230	0.772	165	0.030	20009	0.582	3132	0.091	6	116943
Ente_faecalis_NCTC8745	NZ_LR134312.1	2719199	1.699	6795	0.267	1	226423	8.327	226309	99.950	114	0.050	3	0.001	1049970	38.613	249	0.009	6	104892
Ente_faecalis_NCTC8732	NZ_LR594051.1	2864420	1.462	2854	0.085	1	89885	3.138	89681	99.773	204	0.227	1	0.001	1065048	37.182	744	0.026	13	160117
Ente_faecalis_LD33	NZ_CP014949.1	2803429	1.059	1710	0.041	1	43202	1.541	43007	99.549	195	0.451	0	0.000	747968	26.680	5597	0.200	4	59046
Ente_faecium_E7171	NZ_LR135203.1	2804950	0.893	16844	0.086	1	509957	18.181	509017	99.816	940	0.184	11	0.002	107232	3.823	13061	0.466	6	122234
Ente_faecalis_092160007-3	NZ_CP046113.1	2675479	1.020	1891	0.035	0	48566	1.815	48375	99.607	191	0.393	2	0.004	684211	25.573	3247	0.121	9	114262
Ente_faecalis_29212	NZ_CP008816.1	2939973	1.231	1651	0.048	1	40279	1.370	40034	99.392	245	0.608	0	0.000	954582	32.469	5805	0.197	10	131058
Ente_faecalis_SGAir0397	NZ_CP039434.1	2696714	0.898	2031	0.027	0	38476	1.427	38279	99.488	197	0.512	2	0.005	589917	21.875	3706	0.137	6	80658
TOTAL	-	26217376	0.995	57569	0.702	1	1595382	6.085	1588710	99.582	6672	0.418	185	0.012	5243018	19.998	38625	0.147	61	925208
